TIME;DAY;DATE;LEAGUE;HOME;AWAY;MATCH_ID;1;X;2;0-2;2+;3+;GG;IGG;GG&3+
12:00;Sub;25.10.;ISL1;Vestmannaeyjar;KA Akureyri;533;2.4;3.8;2.47;2.65;1.11;1.42;1.4;3.1;1.58
12:00;Sub;25.10.;ITAP2;Reggiana U19;Entella U19;501;3.8;3.65;1.75;2.05;1.21;1.7;1.67;4.05;1.95
12:00;Sub;25.10.;KIP2;Iraklis Gerolakkou;Digenis Akritas;;5.35;3.75;1.58;1.7;1.34;2.0;2.07;;
12:00;Sub;25.10.;KIP2;Nea Salamis;Halkanoras;;1.2;6.0;12.2;2.5;1.13;1.47;2.1;;
12:00;Sub;25.10.;LET2;Skanstes;JFK Ventspils;499;2.5;3.45;2.37;2.05;1.21;1.7;1.6;3.85;1.9
12:00;Sub;25.10.;LIB1;Tadamon;AL Ahed;496;8.9;4.5;1.29;2.05;1.21;1.67;2.07;5.2;2.35
12:00;Sub;25.10.;MLT2;Fgura;Melita;499;2.5;3.45;2.37;2.05;1.21;1.7;1.6;3.85;1.9
12:00;Sub;25.10.;NEM3;Cottbus;TSV Havelse;529;1.33;5.1;7.3;2.75;1.1;1.4;1.65;3.75;1.82
12:00;Sub;25.10.;NEM3;Ingolstadt;Saarbrucken;532;2.45;3.65;2.45;2.35;1.15;1.52;1.47;3.4;1.7
12:00;Sub;25.10.;NEM3;Mannheim;Munich 1860;528;2.42;3.4;2.65;2.02;1.22;1.7;1.6;3.9;1.9
12:00;Sub;25.10.;NEM3;Regensburg;Stuttgart II;529;2.33;3.4;2.75;2.05;1.21;1.7;1.58;3.85;1.87
12:00;Sub;25.10.;NEM3;Verl;Ulm;530;1.93;3.75;3.3;2.32;1.15;1.53;1.5;3.5;1.75
12:00;Sub;25.10.;NEM4;Aschaffenburg;Eichstatt;501;3.15;3.65;2.02;2.0;1.23;1.73;1.65;4.0;1.97
12:00;Sub;25.10.;NEM4;Bayern Munich II;Illertissen;503;2.1;3.9;2.85;2.6;1.11;1.43;1.42;3.15;1.6
12:00;Sub;25.10.;NEM4;Greuther Furth II;Ansbach;501;1.97;3.75;3.2;2.42;1.14;1.5;1.47;3.4;1.7
12:00;Sub;25.10.;NEM4;Hankofen-Hailing;Aubstadt;501;3.75;3.75;1.8;2.15;1.18;1.62;1.6;3.8;1.85
12:00;Sub;25.10.;NEM4;Memmingen;Unterhaching;500;5.05;4.15;1.55;2.12;1.19;1.65;1.73;4.15;2.0
12:00;Sub;25.10.;NEM4;Schwaben Augsburg;Vilzing;501;3.3;3.65;1.97;2.2;1.18;1.6;1.55;3.65;1.8
12:00;Sub;25.10.;NEM4;Balingen;Kassel;501;3.15;3.75;2.0;2.33;1.15;1.53;1.5;3.5;1.73
12:00;Sub;25.10.;NEM4;Freiburg II;Walldorf;503;2.4;3.9;2.43;2.85;1.09;1.37;1.35;2.95;1.52
12:00;Sub;25.10.;NEM4;Grossaspach;Bahlinger;502;1.37;5.0;6.4;2.75;1.09;1.4;1.6;3.6;1.78
12:00;Sub;25.10.;NEM4;Mainz II;Freiberg;502;2.65;3.75;2.25;2.5;1.12;1.47;1.43;3.25;1.65
12:00;Sub;25.10.;NEM4;Steinbach Haiger;FSV Frankfurt;501;1.75;4.05;3.75;2.45;1.13;1.48;1.5;3.45;1.7
12:00;Sub;25.10.;NEM4;Stutt. Kickers;Schott Mainz;502;1.4;5.0;6.0;2.95;1.08;1.35;1.55;3.4;1.7
12:00;Sub;25.10.;NEM4;Norderstedt;SC Weiche-08;503;2.4;3.95;2.4;2.95;1.08;1.35;1.34;2.9;1.5
12:00;Sub;25.10.;NEM4;Schoningen;Lohne;503;2.7;3.95;2.15;3.0;1.07;1.34;1.34;2.9;1.5
12:00;Sub;25.10.;NEM4;Chemie Leipzig;Hertha Berlin II;499;2.37;3.4;2.7;1.95;1.24;1.75;1.63;4.05;1.95
12:00;Sub;25.10.;NEM4;Chemnitzer;Hertha Zelendorf;499;1.5;4.0;5.85;2.05;1.21;1.68;1.77;4.4;2.05
12:00;Sub;25.10.;NEM4;Greifswald;Jena;501;3.65;3.5;1.9;1.95;1.24;1.77;1.68;4.2;2.0
12:00;Sub;25.10.;NEM4;B. Monchengladbach II;Wuppertaler;501;2.02;3.55;3.2;2.18;1.18;1.6;1.55;3.7;1.8
12:00;Sub;25.10.;NEM4;Bocholt;Bochum II;502;1.57;4.2;4.8;2.6;1.11;1.45;1.5;3.45;1.7
12:00;Sub;25.10.;NEM4;Bonner;Wiedenbruck;501;2.05;3.45;3.25;1.97;1.23;1.75;1.65;4.05;1.95
12:00;Sub;25.10.;NEM4;Dusseldorf II;Paderborn II;501;2.75;3.5;2.28;2.2;1.18;1.6;1.52;3.6;1.78
12:00;Sub;25.10.;NEM4;Fortuna Koln;Koln II;501;1.85;3.65;3.65;2.2;1.17;1.6;1.55;3.7;1.8
12:00;Sub;25.10.;NEM4;Oberhausen;Lotte;501;2.05;3.45;3.2;2.1;1.19;1.65;1.55;3.8;1.85
12:00;Sub;25.10.;NEM4;SSVg Velbert;Schalke II;501;5.2;4.5;1.5;2.5;1.12;1.47;1.6;3.65;1.8
12:00;Sub;25.10.;NOR2;Skeid;Raufoss;530;3.6;3.65;1.87;2.2;1.18;1.6;1.55;3.7;1.82
12:00;Sub;25.10.;POL3;GKS Jastrzebie;Podbeskidzie;501;4.95;3.85;1.6;2.2;1.18;1.6;1.65;3.95;1.9
12:00;Sub;25.10.;ŠPA2;Leonesa;Ceuta;2988;2.35;3.25;3.05;1.65;1.4;2.25;1.9;5.1;2.55
12:00;Sub;25.10.;ŠPA3;Algeciras;Alcorcon;501;2.37;2.85;3.2;1.5;1.45;2.37;1.97;5.6;2.55
12:00;Sub;25.10.;SRB2;Dinamo Jug;Vozdovac;501;3.05;3.2;2.25;1.55;1.42;2.25;2.0;5.35;2.55
12:00;Sub;25.10.;SRB2;FAP;Zemun;501;2.35;3.1;3.0;1.55;1.43;2.3;1.98;5.35;2.55
12:00;Sub;25.10.;SRB2;Smederevo;Vrsac;500;2.18;3.0;3.4;1.48;1.5;2.45;2.1;5.85;2.75
12:00;Sub;25.10.;ŠVA3;Young Boys II;Lausanne II;503;2.35;3.85;2.35;2.75;1.09;1.4;1.38;3.05;1.55
12:00;Sub;25.10.;ŠVE3;Ljungskile;Rosengard;500;1.42;4.45;6.4;2.42;1.14;1.5;1.65;3.9;1.87
12:00;Sub;25.10.;TAJ1;Prachuap;Nakhon Ratchasima FC;501;1.73;3.65;4.3;1.8;1.29;1.88;1.85;4.7;2.25
12:00;Sub;25.10.;TAJ2;Chiangmai Utd;Nakhon Si;501;2.03;3.35;3.15;1.93;1.24;1.77;1.67;4.15;2.0
12:00;Sub;25.10.;TUR3;Altinordu;Karacabey;501;3.3;3.25;2.0;1.7;1.34;2.02;1.85;4.8;2.3
